,track_id,playlist_name,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0Tq9r08MqjyXqgqeuUxpxS,Pa las caderas y el corazón,Sexy Movimiento,Wisin & Yandel,0.815,0.755,10,-6.13,0,0.0373,0.357,1.23e-05,0.14,0.752,104.989,213013
1,2z9YkcLojiOE7Eu2p9lPZR,Pa las caderas y el corazón,Normal,Feid,0.712,0.557,4,-4.861,0,0.115,0.0397,0.0,0.27,0.594,170.079,171987
2,1JYKbarxvGPD5ml1P2O9H7,Pa las caderas y el corazón,Pobre Diabla,Don Omar,0.741,0.748,9,-7.006,0,0.0568,0.423,0.0109,0.0849,0.85,92.052,252480
3,7MmrcXVA7A5zZ2CbDuGHNa,Pa las caderas y el corazón,A Mí,Rels B,0.846,0.548,1,-6.397,1,0.256,0.241,0.0713,0.0419,0.516,94.925,209680
4,0dsEp1KSdosEyse7xtoZwn,Pa las caderas y el corazón,Mexicana,Charles Ans,0.653,0.66,1,-8.775,1,0.0615,0.419,6.73e-05,0.113,0.697,97.015,263001
5,3juWJYfkbhPpI4QvgXOdyc,Pa las caderas y el corazón,Ella Baila,Alexis Play,0.62,0.876,6,-5.7,1,0.22,0.0547,0.0,0.657,0.93,138.93,143498
6,6Yxwkhk5LW0uiurTMT7jLL,Pa las caderas y el corazón,Repent,Shaggy,0.909,0.73,8,-7.731,1,0.284,0.0213,9.87e-06,0.0364,0.929,95.963,221960
7,42LFpmFNacf6rAIZqaCiWt,Pa las caderas y el corazón,"Llora, Llora",Tego Calderón,0.729,0.844,10,-7.207,0,0.205,0.288,0.0,0.0839,0.872,94.846,209613
8,60O7AerEvNrB7HMjmp1xan,Pa las caderas y el corazón,Sin Exagerar (feat. Tego Calderón),Calle 13,0.734,0.896,4,-4.413,0,0.281,0.375,0.0,0.475,0.923,95.026,206427
9,1lxswgIpzV6HhENRvkflES,Pa las caderas y el corazón,Chillax (feat. Ky-Mani Marley),Farruko,0.827,0.646,1,-4.727,0,0.0766,0.0724,0.0,0.247,0.512,92.057,197840
10,2DUCbfLsEnxrNibAorMUkt,Pa las caderas y el corazón,Déjalo,Piso 21,0.872,0.579,5,-4.336,1,0.136,0.214,2.37e-05,0.264,0.759,88.95,179663
