,track_id,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,1x0NfY1A4q8eKN3k4X8sfE,Under You,Foo Fighters,0.263,0.977,9,-2.913,1,0.0857,5.16e-06,0.0,0.148,0.305,149.982,219400
1,2fFdjMCVUnIBU1jiKLBIKH,Worth Dying For,Rise Against,0.212,0.986,1,-3.788,0,0.226,0.000129,2.62e-05,0.343,0.357,172.295,200000
2,0Y0fjDVP3AdvODBG0jOIht,A la Madrugada,Simon Grossmann,0.668,0.845,6,-5.484,0,0.045,0.196,0.0,0.349,0.965,164.032,261403
3,43hSlJcM3EZeocev7yCNKX,Pa Poderte Ver,Maréh,0.786,0.44,8,-9.584,0,0.132,0.516,0.0,0.129,0.633,125.038,166207
4,6ieBQJtGAvfimYm5z8MUDS,Mala,La Garfield,0.621,0.616,3,-5.989,0,0.0429,0.342,0.0,0.0935,0.268,85.99,211155
5,7iHmagsuR8zT8BceixKZjs,Semilla,Simon Grossmann,0.775,0.689,6,-5.966,0,0.154,0.364,0.0,0.109,0.909,153.961,245104
6,4njR1yFmT033ZuapS3kzUI,Justo y Necesario,Simon Grossmann,0.654,0.497,0,-8.029,1,0.0657,0.386,0.0,0.149,0.371,118.924,359976
7,1jAhMh9XERshT2aGIN9aC5,Mujer Eléctrica,Simon Grossmann,0.763,0.403,10,-9.329,1,0.0509,0.76,0.0,0.0743,0.25,109.961,211449
8,6SfkPzqzG62lkvkyKJGUKY,Café Con Leche,Simon Grossmann,0.867,0.271,11,-12.298,0,0.147,0.738,0.000234,0.12,0.739,61.011,113639
9,0sg2tsm1SRoCFbTCdRoJL8,Cien Años,Paté de Fuá,0.804,0.631,5,-8.094,1,0.0371,0.162,3.85e-05,0.22,0.919,94.977,205794
10,6Bm6qUCSatPAqkQllFL7oA,Unwell,Matchbox Twenty,0.256,0.788,6,-5.263,0,0.0403,0.0298,0.0,0.707,0.429,80.718,228707
11,26IzTKdAxYUblJkNTg26XG,Traigo el Bongó,La Pambelé,0.679,0.611,1,-10.222,1,0.0509,0.597,0.406,0.148,0.821,117.493,308320
12,7mHFWWfVlhqGjeIQ5qt9i2,Perderme Contigo,Bacilos,0.717,0.881,0,-3.21,1,0.0538,0.23,0.0,0.135,0.685,103.996,246388
13,2mlccfOj0SdzAoOQRca7vn,Algo Sencillito,Marta Santos,0.75,0.666,11,-6.553,0,0.136,0.436,0.0,0.0947,0.645,93.043,177339
